name,source,gender,wikidata,type
"R. Flora",,,,way
"Radial de Gondomar",,,,way
"Ramal de Alfândega",,,,way
Ribeira,,,,relation
"Ribeira de Aldoar",,,,way
"Roa Dom Jerónimo de Azevedo",,,,way
"Rotunda Acácio da Silva Gomes",,,,way
"Rotunda Artur Cupertino de Miranda",,,,way
"Rotunda Hugo Rocha",,,,way
"Rotunda Joaquim Cardoso Vila Nova",,,,way
"Rotunda José Rodrigues",,,,way
"Rotunda Manuel Pinto de Azevedo Júnior",,,,way
"Rotunda Orfeão Universitário do Porto",,,,way
"Rotunda Orlando Ribeiro",,,,way
"Rotunda da Associação Empresarial de Portugal",,,,way
"Rotunda de Cartes",,,,way
"Rotunda do Bessa",,,,way
"Rotunda do Casal",,,,way
"Rotunda do Freixo",,,,way
"Rotunda do Giestal",,,,way
"Rotunda do Mercado Abastecedor",,,,way
"Rotunda do Ribeirinho",,,,way
"Rua 1",,,,way
"Rua 10",,,,way
"Rua 11",,,,way
"Rua 13",,,,way
"Rua 15 de Novembro",,,,way
"Rua 2",,,,way
"Rua 25 de Julho",,,,way
"Rua 25 de julho",,,,way
"Rua 3",,,,way
"Rua 4",,,,way
"Rua 5",,,,way
"Rua 6",,,,way
"Rua 7",,,,way
"Rua 8",,,,way
"Rua 9",,,,way
"Rua 9 de Julho",,,,way
"Rua Abade António da Costa",,,,way
"Rua Acácio Lino",,,,way
"Rua Académico Futebol Club",,,,way
"Rua Agostinho José Freire",,,,way
"Rua Agostinho Ricca",,,,way
"Rua Agra do Amial",,,,way
"Rua Agustina Bessa Luís",,,,way
"Rua Airosa",,,,way
"Rua Albano Martins",,,,way
"Rua Albertina de Sousa Paraíso",,,,way
"Rua Alberto Carlos Correia da Silva",,,,way
"Rua Alberto José Guimarães",,,,way
"Rua Alberto Malafaya Baptista",,,,way
"Rua Alberto Pimentel",,,,way
"Rua Alberto Sampaio",,,,way
"Rua Alcaide de Faria",,,,way
"Rua Alcino Soutinho",,,,way
"Rua Alegre",,,,way
"Rua Alexandre Fleming",,,,way
"Rua Alfredo Allen",,,,way
"Rua Alfredo Ferreira Faria",,,,way
"Rua Alfredo Nunes de Matos",,,,way
"Rua Almirante Leote do Rego",,,,way
"Rua Alto de Vila",,,,way
"Rua Alto do Viso",,,,way
"Rua Amadeu de Souza Cardoso",,,,way
"Rua Amália Rodrigues",,,,way
"Rua Amândio Galhano",,,,way
"Rua Amândio Tavares",,,,way
"Rua Américo Gomes",,,,way
"Rua Amorim de Carvalho",,,,way
"Rua Ana Plácido",,,,way
"Rua António Ámen",,,,way
"Rua António Arroio",,,,way
"Rua António Borges",,,,way
"Rua António Cândido",,,,way
"Rua António Correia da Silva",,,,way
"Rua António José Costa",,,,way
"Rua António José da Silva",,,,way
"Rua António José de Almeida",,,,way
"Rua António Manuel Couto Viana - Rua 14",,,,way
"Rua António Maria de Sena",,,,way
"Rua António Pinheiro Caldas",,,,way
"Rua António Rebordão Navarro",,,,way
"Rua António Ricca Gonçalves",,,,way
"Rua António Rocha Melo",,,,way
"Rua António Saldanha",,,,way
"Rua António Salgado Júnior",,,,way
"Rua António da Silva Cunha",,,,way
"Rua António da Silva Marinho",,,,way
"Rua António de Sousa e Silva",,,,way
"Rua Aristides de Sousa Mendes",,,,way
"Rua Arquitecto Cassiano Barbosa",,,,way
"Rua Arquitecto Nicolau Nasoni",,,,way
"Rua Arquiteto Tomás Soller",,,,way
"Rua Artur Oliveira Valença",,,,way
"Rua Artur de Sousa",,,,way
"Rua Ateneu Comercial do Porto",,,,way
"Rua Aurélia de Sousa",,,,way
"Rua Aurélio da Paz dos Reis",,,,way
"Rua Avelar Brotero",,,,way
"Rua Beato Inácio de Azevedo",,,,way
"Rua Beija-Flor",,,,way
"Rua Benjamim Gouveia",,,,way
